code,time,buy_no,sell_no,price,vol,amount
000584,94303190,1558346,1335174,6.43,1,643
000584,94311060,1485046,1568196,6.41,1,641
000584,94311060,1485072,1568196,6.41,6,3846
000584,94331370,1593252,1335174,6.43,39,25077
000584,94331370,1593252,1357268,6.43,17,10931
000584,94331370,1593252,1370531,6.43,5,3215
000584,94331370,1593252,1398802,6.43,10,6430
000584,94331370,1593252,1568714,6.43,13,8359
000584,94331370,1593252,1588143,6.43,50,32150
000584,94332120,1593252,1594161,6.43,36,23148
000584,94337890,1601434,920811,6.44,8,5152
000584,94342490,1607196,920811,6.44,3,1932
000584,94343120,1593252,1608210,6.43,10,6430
000584,94347440,1593252,1613425,6.43,37,23791
000584,94347440,1595812,1613425,6.43,6,3858
000584,94347440,1595816,1613425,6.43,3,1929
000584,94347440,1602827,1613425,6.43,4,2572
000584,94347440,1602879,1613425,6.43,4,2572
000584,94347440,1610775,1613425,6.43,2,1286
000584,94353080,1620500,1613425,6.43,1,643
000584,94356990,1588030,1625081,6.42,4,2568
000584,94356990,1595722,1625081,6.42,46,29532
000584,94357260,1625412,1613425,6.43,1,643
000584,94401470,1595722,1630933,6.42,33,21186
000584,94401470,1621726,1630933,6.42,1,642
000584,94401470,1621752,1630933,6.42,1,642
000584,94408610,1639335,1630933,6.42,42,26964
000584,94408610,1639335,1613425,6.43,1,643
000584,94418030,1485072,1651236,6.41,4,2564
000584,94418030,1488643,1651236,6.41,3,1923
000584,94418030,1488708,1651236,6.41,2,1282
000584,94418030,1572846,1651236,6.41,1,641
000584,94418030,1621113,1651236,6.41,10,6410
000584,94418030,1640118,1651236,6.41,3,1923
000584,94418030,1640125,1651236,6.41,1,641
000584,94418370,1651634,1651236,6.41,1,641
000584,94420110,1654107,1651236,6.41,32,20512
000584,94420570,1654703,1651236,6.41,72,46152
000584,94421170,1655348,1651236,6.41,2,1282
000584,94421180,1655364,1651236,6.41,15,9615
000584,94421360,1656162,1651236,6.41,2,1282
000584,94421450,1656349,1651236,6.41,1,641
000584,94423080,1658441,1651236,6.41,2,1282
000584,94424260,1659817,1651236,6.41,1,641
000584,94424340,1659905,1651236,6.41,31,19871
000584,94427170,1663545,1651236,6.41,5,3205
000584,94427330,1664388,1651236,6.41,14,8974
000584,94442180,1684103,1672976,6.42,1,642
000584,94455290,1702094,1672976,6.42,1,642
000584,94505930,1716110,1672976,6.42,3,1926
000584,94505930,1716110,1678210,6.42,10,6420
000584,94505930,1716110,1707673,6.42,30,19260
000584,94505930,1716110,1712791,6.42,30,19260
000584,94511300,1723097,1613425,6.43,7,4501
000584,94515260,1716110,1728225,6.42,4,2568
000584,94517680,1716110,1731455,6.42,2,1284
000584,94517680,1716770,1731455,6.42,3,1926
000584,94518410,1716771,1732398,6.42,1,642
000584,94527230,1727051,1743878,6.42,1,642
000584,94527490,1727051,1744174,6.42,1,642
000584,94527490,1727051,1744176,6.42,1,642
000584,94530390,1728159,1747638,6.42,1,642
000584,94530420,1731791,1747679,6.42,1,642
