code,time,price,vol,type,order_type,order_no
000584,93322300,6.52,15,2,2,664740
000584,93324190,6.39,5,2,1,668573
000584,93324220,6.39,1,2,1,668643
000584,93324310,6.39,12,2,1,668833
000584,93324310,6.39,1,2,1,668838
000584,93324440,6.39,3,2,1,669069
000584,93324980,6.39,1,2,1,670430
000584,93324980,6.39,1,2,1,670432
000584,93324980,6.39,1,2,1,670433
000584,93325070,6.99,30,2,2,670621
000584,93325320,6.39,10,2,2,671249
000584,93327270,6.39,5,2,1,674507
000584,93327280,6.39,2,2,1,674516
000584,93328560,6.39,3,2,2,677547
000584,93329220,6.5,10,2,2,678869
000584,93329540,6.41,75,2,2,679450
000584,93329750,6.9,2,2,2,679920
000584,93334970,6.6,9,2,2,690973
000584,93340360,6.39,3,2,2,702033
000584,93343850,6.4,1,2,1,708839
000584,93343860,6.4,1,2,1,708882
000584,93343940,6.4,1,2,1,709009
000584,93343960,6.4,11,2,1,709057
000584,93344010,6.4,6,2,1,709129
000584,93344100,6.4,2,2,1,709273
000584,93344140,6.4,1,2,1,709346
000584,93344150,6.4,1,2,1,709360
000584,93344280,6.4,4,2,1,709536
000584,93344450,6.4,1,2,1,709912
000584,93344560,6.39,1,2,1,710078
000584,93344700,6.39,26,2,1,710301
000584,93345100,6.4,1,2,1,710814
000584,93345170,6.39,1,2,1,710966
000584,93345660,6.39,12,2,1,712092
000584,93346020,6.39,20,2,2,712899
000584,93347010,6.4,1,2,1,714630
000584,93347010,6.4,1,2,1,714638
000584,93347160,6.38,28,2,1,714842
000584,93347370,6.4,1,2,1,715198
000584,93347440,6.4,3,2,1,715382
000584,93347450,6.4,1,2,1,715510
000584,93347510,6.4,9,2,1,715593
000584,93347520,6.4,5,2,1,715619
000584,93347590,6.4,1,2,1,715749
000584,93347650,6.4,1,2,1,715849
000584,93348240,6.4,218,2,1,716766
000584,93348800,6.4,70,2,1,718000
000584,93348890,6.5,20,2,2,718197
000584,93351290,6.39,1,2,1,722013
000584,93351380,6.4,2,2,1,722259
000584,93351430,6.4,2,2,1,722358
000584,93351470,6.39,1,2,1,722423
000584,93351540,6.39,1,2,1,722584
000584,93351590,6.39,1,2,1,722686
000584,93351660,6.39,1,2,1,722841
000584,93352280,6.33,5,2,1,724171
000584,93352690,6.39,1,2,1,724893
000584,93354280,6.4,1,2,1,727334
000584,93354280,6.4,1,2,1,727337
000584,93354410,6.4,177,2,1,727670
000584,93355030,6.4,1,2,1,729054
